product_id,total_revenue,total_profit,avg_margin
200,3200493.25,1013774.75,31.737266674013572
201,2797455.0,903339.67,32.1078085905849
202,2921043.9,961182.27,32.608765429080016
203,3260152.2,1026508.24,31.332415345908423
204,2743956.0,919923.68,32.822814635177004
205,2850741.15,928452.05,32.67932837411898
206,2843309.05,938914.32,32.62570766910093
207,2872137.4,932571.74,32.79507443824576
208,2990288.15,970662.41,32.059469731897444
209,3116945.5,1041065.34,32.74802939414965
210,3154735.6,1031628.74,32.71878207508848
211,2851501.65,938998.9400000001,32.525252931592995
212,2968752.05,998443.68,33.302717497172004
213,3196675.35,1064065.23,32.8908826987045
214,2813256.85,920166.47,32.442453619765665
215,2617610.5,891152.67,33.28749683386636
216,2508623.5,810723.72,31.942990115192007
217,2980885.0,970856.93,32.591357070660685
218,2874280.1,923617.11,32.48589399310612
219,2736787.25,883109.23,32.53989172217422
220,3137741.9,1012346.3200000001,32.51721562032998
221,3272518.3,1068020.4,32.857076567823746
222,3480334.25,1140898.35,32.629371987428804
223,2250453.45,710560.27,31.977129541806914
224,2909379.95,939891.6,32.49009158217513
225,3189445.75,1051544.96,32.986147441184514
226,3185733.65,1022698.5,31.90536824639973
227,2873483.25,948343.3,32.69865243955997
228,3206182.8,1035089.15,31.849499142057667
229,2800073.75,935592.92,33.31509175473822
230,2771525.2,903546.5,32.010957829184996
231,2726312.1,868325.11,32.80871484868776
232,3210124.45,1035224.7,32.65981701005683
233,2850106.95,923911.69,32.847263514041124
234,3098953.8,1022514.42,32.6527312904589
235,2542765.75,820103.95,32.05846527993264
236,2831622.55,909575.51,32.12107042196851
237,2679931.1,879361.9,32.45912313033684
238,2749465.55,892795.0700000001,32.87029423961076
239,2910125.35,944761.45,33.32601714208538
240,2895775.8,943181.23,32.71589916385275
241,2608072.3,854141.84,32.03698328215638
242,2527950.2,814199.98,32.51889980272037
243,2870312.75,925656.05,32.41065801240438
244,3226129.2,1095385.09,33.69491745404605
245,2938474.8,924975.59,32.298453326025374
246,2630307.6,847853.51,32.10017461897424
247,2964079.2,965803.08,32.726311237703214
248,2639496.25,867947.96,32.51273808977235
249,3050599.8,985510.9,32.433503043543375
250,3221184.85,1059388.59,32.56766614608185
251,2816788.0,922560.03,32.367748617103906
252,2596259.9,858500.05,32.61767357328788
253,2194662.45,713508.36,32.427117172528824
254,2751751.2,896485.31,32.36339722279762
255,2680910.5,886313.97,32.945648087047246
256,2977429.25,968326.3099999999,32.28584152844379
257,3287972.2,1046921.51,31.86199160916014
258,2886446.4,910915.49,31.771693154209935
259,2817064.5,893257.08,31.722777500431526
260,2847836.25,931797.51,32.834854524524786
261,3011232.1,958681.27,31.48878312732842
262,2776034.85,924702.28,32.49285200039432
263,2528058.15,801069.57,31.398316679023534
264,2922950.7,952274.4,32.711998545089486
265,2884107.55,962783.95,32.9302915972452
266,2452773.8,779623.27,31.499792012440846
